"Genes","Correlation"
"ALDH6A1",0.756410256410256
"ALDH7A1",0.872405372405372
"ALDH8A1",0.606227106227106
"ALDH9A1",0.875457875457875
"ALDOA",0.802197802197802
"ALDOB",0.0842490842490842
"ALDOC",0.948107448107448
"ALG10B",0.411477411477411
"ALG10",0.393772893772894
"ALG11",0.50976800976801
"ALG12",0.369352869352869
"ALG13",-0.0622710622710623
"ALG14",0.851037851037851
"ALG2",0.710622710622711
"ALG3",0.754578754578755
"ALG5",0.829670329670329
"ALG6",0.929181929181929
"ALG8",0.663003663003663
"ALG9",0.6996336996337
"ALKBH1",0.722832722832723
"ALKBH2",0.966422466422466
"ALKBH3",0.59035409035409
"ALKBH4",0.614774114774115
"ALKBH5",0.728327228327228
"ALKBH6",0.682539682539682
"ALKBH7",0.509157509157509
"ALKBH8",0.600732600732601
"ALK",0.928571428571428
"ALLC",0.388888888888889
"ALMS1",0.729548229548229
"ALOX12B",0.442002442002442
"ALOX12P2",0.36019536019536
"ALOX12",-0.00915750915750916
"ALOX15B",0.951770451770452
"ALOX15",0.141636141636142
"ALOX5AP",0.993284493284493
"ALOX5",0.947496947496947
"ALOXE3",-0.247863247863248
"ALPI",0.0598290598290598
"ALPK1",0.858974358974359
"ALPK2",0.679487179487179
"ALPK3",0.493894993894994
"ALPL",0.838217338217338
"ALPPL2",0.0958485958485958
"ALPP",0.090964590964591
"ALS2CL",0.518925518925519
"ALS2CR11",0.294261294261294
"ALS2CR12",0.53968253968254
"ALS2CR4",0.666666666666667
"ALS2CR8",0.276556776556777
"ALS2",0.393772893772894
"ALX1",0.283272283272283
"ALX3",0.322954822954823
"ALX4",-0.208791208791209
"AMAC1L2",0.404151404151404
"AMAC1",0.280830280830281
"AMACR",0.783272283272283
"AMBN",0.254578754578755
"AMBP",-0.178266178266178
"AMD1",0.788156288156288
"AMDHD1",0.874236874236874
"AMDHD2",0.703907203907204
"AMELX",0.128205128205128
"AMELY",0.327228327228327
"AMFR",0.562271062271062
"AMHR2",0.563492063492063
"AMH",0.871184371184371
"AMICA1",0.93040293040293
"AMIGO1",0.79059829059829
"AMIGO2",0.976190476190476
"AMIGO3",0.635531135531135
"AMMECR1L",0.578144078144078
"AMMECR1",0.778998778998779
"AMN1",0.697191697191697
"AMN",-0.185592185592186
"AMOTL1",0.517704517704518
"AMOTL2",0.85958485958486
"AMOT",0.952380952380952
"AMPD1",0.408424908424908
"AMPD2",0.853479853479853
"AMPD3",0.925518925518925
"AMPH",0.676434676434676
"AMTN",0.0372405372405372
"AMT",0.976800976800977
"AMY2A",0.411477411477411
"AMY2B",0.82051282051282
"AMZ1",0.90964590964591
"AMZ2",0.435897435897436
"ANAPC10",0.678266178266178
"ANAPC11",0.594627594627595
"ANAPC13",0.706959706959707
"ANAPC1",0.608058608058608
"ANAPC2",0.532356532356532
"ANAPC4",0.752136752136752
"ANAPC5",0.708791208791209
"ANAPC7",0.465201465201465
"ANGEL1",0.678876678876679
"ANGEL2",0.752136752136752
"ANGPT1",0.883394383394383
"ANGPT2",0.826007326007326
"ANGPT4",-0.0641025641025641
"ANGPTL1",0.9004884004884
"ANGPTL2",0.778388278388278
"ANGPTL3",0.481074481074481
"ANGPTL4",0.973137973137973
"ANGPTL5",0.748473748473748
"ANGPTL7",0.614774114774115
"ANG",0.962759462759463
"ANK1",0.857753357753358
"ANK2",0.614163614163614
"ANK3",0.831501831501831
"ANKAR",0.617216117216117
"ANKDD1A",0.791819291819292
"ANKFN1",0.416361416361416
"ANKFY1",0.294871794871795
"ANKHD1",0.504884004884005
"ANKH",0.696581196581197
"ANKIB1",0.481074481074481
"ANKMY1",0.466422466422466
"ANKMY2",0.807081807081807
"ANKRA2",0.756410256410256
"ANKRD10",0.855311355311355
"ANKRD11",0.382173382173382
"ANKRD12",0.781440781440781
"ANKRD13A",0.597680097680098
"ANKRD13B",0.757631257631258
"ANKRD13D",0.899267399267399
"ANKRD16",0.612332112332112
"ANKRD17",0.233211233211233
"ANKRD19",0.573870573870574
"ANKRD1",0.299145299145299
"ANKRD22",0.922466422466422
"ANKRD23",0.727106227106227
"ANKRD24",0.733821733821734
"ANKRD26",0.747863247863248
"ANKRD27",0.846764346764347
"ANKRD28",0.648351648351648
"ANKRD29",0.970695970695971
"ANKRD2",0.590964590964591
"ANKRD30A",-0.268620268620269
"ANKRD32",0.765567765567766
"ANKRD33",-0.321123321123321
"ANKRD35",0.971916971916972
"ANKRD36",0.614163614163614
"ANKRD37",0.938949938949939
"ANKRD39",0.814407814407814
"ANKRD40",0.674603174603175
"ANKRD42",0.462148962148962
"ANKRD43",0.925518925518925
"ANKRD44",0.366300366300366
"ANKRD45",0.831501831501831
"ANKRD46",0.77960927960928
"ANKRD49",0.689255189255189
"ANKRD50",0.622100122100122
"ANKRD53",0.109279609279609
"ANKRD54",0.741147741147741
"ANKRD55",0.888888888888889
"ANKRD57",0.768620268620268
"ANKRD5",0.45970695970696
"ANKRD6",0.613553113553113
"ANKRD7",0.863858363858364
"ANKRD9",0.824175824175824
"ANKS1A",0.711843711843712
"ANKS1B",0.833943833943834
"ANKS3",0.829059829059829
"ANKS4B",0.105616605616606
"ANKS6",0.864468864468864
"ANKZF1",0.822344322344322
"ANLN",0.885836385836386
"ANP32B",0.555555555555555
"ANP32C",-0.0543345543345543
"ANP32D",-0.24053724053724
"ANP32E",0.633699633699634
"ANPEP",0.603785103785104
"ANTXR1",0.536019536019536
"ANTXR2",0.92002442002442
"ANUBL1",0.943833943833944
"ANXA10",0.100732600732601
"ANXA11",0.962759462759463
"ANXA13",0.614163614163614
"ANXA1",0.914529914529914
"ANXA2",0.87973137973138
"ANXA3",0.945054945054945
"ANXA4",0.862026862026862
"ANXA5",0.964590964590964
"ANXA6",0.590964590964591
"ANXA7",0.787545787545787
"ANXA8L2",0.269230769230769
"ANXA9",-0.0775335775335775
"AOAH",0.887057387057387
"AOC2",0.0512820512820513
"AOC3",0.862026862026862
"AOX1",0.725274725274725
"AP1B1",0.706349206349206
"AP1G1",0.410866910866911
"AP1G2",0.619047619047619
"AP1M1",0.747863247863248
"AP1M2",0.27045177045177
"AP1S1",0.516483516483516
"AP1S2",0.838827838827839
"AP1S3",0.625152625152625
"AP2A1",0.785714285714286
"AP2A2",0.827228327228327
"AP2B1",0.471306471306471
"AP2M1",0.705738705738706
"AP2S1",0.835775335775336
"AP3B1",0.551282051282051
"AP3B2",0.729548229548229
"AP3D1",0.365689865689866
"AP3M1",0.824786324786325
"AP3M2",0.735653235653236
"AP3S1",0.536019536019536
"AP3S2",0.798534798534798
"AP4B1",0.896214896214896
"AP4E1",0.746031746031746
"AP4M1",0.698412698412698
"AP4S1",0.845543345543345
"APAF1",0.368131868131868
"APBA1",0.561050061050061
"APBA2",0.710622710622711
"APBA3",0.311965811965812
"APBB1IP",0.951159951159951
"APBB1",0.649572649572649
"APBB2",0.788766788766789
"APBB3",0.88034188034188
"APC2",0.139194139194139
"APCDD1L",0.15995115995116
"APCDD1",0.891941391941392
"APCS",-0.207570207570208
"APC",0.553724053724054
"APEH",0.752136752136752
"APEX1",0.711843711843712
"APEX2",0.648962148962149
"APH1A",0.114163614163614
"APH1B",-0.0158730158730159
"API5",0.67032967032967
"APIP",0.793040293040293
"APITD1",0.893772893772894
"APLN",0.946886446886447
"APLP1",0.857142857142857
"APLP2",0.505494505494505
"APOA1BP",0.607448107448107
"APOA1",0.0103785103785104
"APOA2",0.235042735042735
"APOA4",0.247863247863248
"APOA5",0.416361416361416
"APOB48R",0.94993894993895
"APOBEC1",0.271062271062271
"APOBEC2",0.158119658119658
"APOBEC3A",0.696581196581197
"APOBEC3B",0.945665445665446
"APOBEC3C",0.76984126984127
"APOBEC3D",0.0158730158730159
"APOBEC3F",0.846153846153846
"APOBEC3G",0.924297924297924
"APOBEC3H",0.678266178266178
"APOB",-0.0805860805860806
"APOC1",0.942002442002442
"APOC2",0.835775335775336
"APOC3",0.14041514041514
"APOC4",0.753968253968254
"APOD",0.763736263736264
"APOE",0.901098901098901
"APOF",-0.0958485958485958
"APOH",0.412698412698413
"APOL1",0.822954822954823
"APOL2",0.775335775335775
"APOL3",0.912087912087912
"APOL4",0.697191697191697
"APOL5",0.123931623931624
"APOL6",0.761294261294261
"APOLD1",0.854700854700855
"APOM",0.913308913308913
"APOOL",0.298534798534798
"APOO",0.801587301587302
"APPBP2",0.42979242979243
"APPL1",0.600732600732601
"APPL2",0.805250305250305
"APP",0.583028083028083
"APRT",0.716117216117216
"APTX",0.821733821733822
"AQP10",0.17032967032967
"AQP11",0.643467643467643
"AQP12B",0.152014652014652
"AQP1",0.925518925518925
"AQP2",0.24053724053724
"AQP3",0.85958485958486
"AQP4",0.758241758241758
"AQP5",0.828449328449328
"AQP6",0.84004884004884
"AQP7",0.0335775335775336
"AQP8",0.612332112332112
"AQP9",0.878510378510378
